agent-browser	vercel-labs/agent-browser
anthropic-agent-skills	anthropics/skills
brag	latent-spaces/brag
caveman	JuliusBrussee/caveman
claude-code-warp	warpdotdev/claude-code-warp
claude-hud	jarrodwatts/claude-hud
claude-plugins-official	anthropics/claude-plugins-official
conorluddy	conorluddy/ios-simulator-skill
expo-plugins	expo/skills
frontend-slides	zarazhangrui/frontend-slides
gsap-skills	greensock/gsap-skills
humanizer	blader/humanizer
hyperframes	heygen-com/hyperframes
i-have-adhd	ayghri/i-have-adhd
impeccable	pbakaus/impeccable
last30days-skill	mvanhorn/last30days-skill
marketingskills	coreyhaines31/marketingskills
mattpocock	mattpocock/skills
openai-codex	openai/codex-plugin-cc
playwright-skill	lackeyjb/playwright-skill
ponytail	DietrichGebert/ponytail
social-media-skills	charlie947/social-media-skills
spartan-marketplace	UNRESOLVED
superpowers-dev	obra/superpowers
taste-skill	Leonxlnx/taste-skill
terrashark	LukasNiessen/terrashark
thedotmack	thedotmack/claude-mem
trailofbits	trailofbits/skills
web-asset-generator-marketplace	alonw0/web-asset-generator
